Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
3659,19900701,19950306,627,50.3391,6.9501,Nürburg,Rheinland-Pfalz
3660,19950306,20260112,485,50.3602,6.8697,Nürburg-Barweiler,Rheinland-Pfalz
3668,19900701,20260112,314,49.503,11.0549,Nürnberg,Bayern
3730,19900730,20260112,806,47.3984,10.2759,Oberstdorf,Bayern
3761,19900701,20260112,276,49.207,9.5176,Öhringen,Baden-Württemberg
3775,19900705,20010319,100,50.1029,8.7468,Offenbach/Main-Zentrallabor (RADA),Hessen
3791,19900701,20121001,11,53.1763,8.1824,Oldenburg,Niedersachsen
3811,19900111,20260112,151,51.296,13.0928,Oschatz,Sachsen
3815,19900701,20101130,95,52.2553,8.0534,Osnabrück,Niedersachsen
3821,19900621,20260112,244,51.0872,11.9293,Osterfeld,Sachsen-Anhalt
3873,19911101,19941118,4,54.3667,13.0833,Parow (Flugplatz),Mecklenburg-Vorpommern
3879,19900703,19961229,409,48.5779,13.4694,Passau-Oberhaus,Bayern
3897,19900701,20260112,2,54.0893,10.8773,Pelzerhaken,Schleswig-Holstein
3905,20111101,20260112,407,49.5214,6.4476,Perl-Sinz-Renglischberg,Saarland
3921,19900817,19970527,396,49.85,7.6,Pferdsfeld,Rheinland-Pfalz
3925,20050907,20260112,332,48.9329,8.6973,Pforzheim-Ispringen,Baden-Württemberg
3946,19900104,20260112,387,50.4818,12.13,Plauen,Sachsen
3987,19900602,20260112,81,52.3812,13.0622,Potsdam,Brandenburg
3997,19911102,19941230,100,51.6667,14.6333,Preschen (Flugplatz),Brandenburg
4024,19900613,20260112,40,54.3643,13.4771,Putbus,Mecklenburg-Vorpommern
4026,19900701,19960613,1,54.5,11.2167,Puttgarden,Schleswig-Holstein
4032,20080521,20260112,142,51.7953,11.132,Quedlinburg,Sachsen-Anhalt
4036,20091014,20260112,206,51.3895,11.5412,Querfurt-Mühle Lodersleben,Sachsen-Anhalt
4039,19960214,20260112,11,53.7331,9.8776,Quickborn,Schleswig-Holstein
4094,20051020,20260112,441,47.8062,9.6206,Weingarten,Baden-Württemberg
4104,19900701,20260112,365,49.0425,12.1019,Regensburg,Bayern
4174,19930301,20171214,40,52.2887,7.3866,Rheine-Bentlage,Nordrhein-Westfalen
4177,20081101,20260112,116,48.9726,8.3301,Rheinstetten,Baden-Württemberg
4190,19900701,19940128,526,48.1667,9.5,Riedlingen (A),Baden-Württemberg
4225,20081201,20190413,373,49.2195,12.536,Roding-Wetterfeld,Bayern
4271,19900602,20260112,5,54.1803,12.0808,Rostock-Warnemünde,Mecklenburg-Vorpommern
4279,20081105,20260112,593,50.3046,6.3863,Roth bei Prüm,Rheinland-Pfalz
4280,19930302,20260112,386,49.2162,11.1035,Roth,Bayern
4336,19900701,20260112,319,49.2128,7.1077,Saarbrücken-Ensheim,Saarland
4371,19900701,20260112,135,52.1042,8.7521,Salzuflen,Nordrhein-Westfalen
4393,19991201,20260112,5,54.3279,8.6031,Sankt Peter-Ording,Schleswig-Holstein
4445,19900622,19910729,614,51.7659,10.6533,Wernigerode-Schierke,Sachsen-Anhalt
4464,19900618,20260112,501,50.5679,11.8041,Schleiz,Thüringen
4466,19900701,20260112,43,54.5275,9.5487,Schleswig,Schleswig-Holstein
4501,19900602,20260112,938,50.6545,10.7696,Schmücke,Thüringen
4625,19900602,20260112,59,53.6424,11.3871,Schwerin,Mecklenburg-Vorpommern
4629,19900702,19991130,37,54.5166,9.142,Schwesing,Schleswig-Holstein
4642,19900602,20260112,22,52.8911,11.7297,Seehausen,Sachsen-Anhalt
4663,20081128,20110411,535,50.1633,12.1188,Selb/Selbbach,Bayern
4702,19950110,20071109,645,48.1,9.25,Sigmaringen (Flugplatz),Baden-Württemberg
4719,19900701,20070828,169,49.2447,8.8787,Sinsheim,Baden-Württemberg
4745,19900701,20260112,75,52.9604,9.793,Soltau,Niedersachsen
4752,19900602,20080630,626,50.3746,11.1828,Sonneberg-Neufang,Thüringen
4880,20081101,20260112,450,49.0878,10.124,Stimpfach-Weipertshofen,Baden-Württemberg
